nodeType, nodeLabels, propertyName, propertyTypes, mandatory
":`Gene`", ["Gene"], "name", ["String"], FALSE
":`Gene`", ["Gene"], "uniprot_id", ["String"], FALSE
":`Gene`", ["Gene"], "entrez_id", ["Long", "String"], FALSE
":`Gene`", ["Gene"], "symbol", ["String"], FALSE
":`Gene`", ["Gene"], "import_timestamp", ["String", "DateTime"], FALSE
":`Gene`", ["Gene"], "synonyms", ["StringArray"], FALSE
":`Gene`", ["Gene"], "source_files", ["StringArray"], FALSE
":`Gene`", ["Gene"], "consolidated", ["Boolean"], FALSE
":`Gene`", ["Gene"], "last_updated", ["String", "DateTime"], FALSE
":`Gene`", ["Gene"], "cross_validated", ["Boolean"], FALSE
":`Gene`", ["Gene"], "id_type", ["String"], FALSE
":`Gene`", ["Gene"], "uniprot_cross_validated", ["Boolean"], FALSE
":`Gene`", ["Gene"], "source", ["String"], FALSE
":`Gene`", ["Gene"], "symbol_cross_validated", ["Boolean"], FALSE
":`Gene`", ["Gene"], "uniprot_validated", ["Boolean"], FALSE
":`Gene`", ["Gene"], "db_source", ["String"], FALSE
":`Gene`", ["Gene"], "taxon", ["String"], FALSE
":`AltGOMapping`", ["AltGOMapping"], "obsolete_id", ["String"], TRUE
":`AltGOMapping`", ["AltGOMapping"], "import_timestamp", ["String"], TRUE
":`AltGOMapping`", ["AltGOMapping"], "source_file", ["String"], TRUE
":`AltGOMapping`", ["AltGOMapping"], "current_id", ["String"], TRUE
":`Disease`", ["Disease"], "name", ["String"], TRUE
":`Disease`", ["Disease"], "study_id", ["Long"], TRUE
":`Disease`", ["Disease"], "tissue_context", ["String"], TRUE
":`Disease`", ["Disease"], "full_condition", ["String"], TRUE
":`Virus`", ["Virus"], "name", ["String"], TRUE
":`Virus`", ["Virus"], "source", ["String"], TRUE
":`Virus`", ["Virus"], "studies", ["StringArray"], TRUE
":`Virus`", ["Virus"], "condition_count", ["Long"], TRUE
":`Virus`", ["Virus"], "study_count", ["Long"], TRUE
":`Virus`", ["Virus"], "conditions", ["StringArray"], TRUE
":`Drug`", ["Drug"], "name", ["String"], TRUE
":`Drug`", ["Drug"], "organism_count", ["Long"], TRUE
":`Drug`", ["Drug"], "organisms", ["StringArray"], TRUE
":`Drug`", ["Drug"], "platforms", ["StringArray"], TRUE
":`Drug`", ["Drug"], "source", ["String"], TRUE
":`Drug`", ["Drug"], "studies", ["StringArray"], TRUE
":`Drug`", ["Drug"], "platform_count", ["Long"], TRUE
":`Drug`", ["Drug"], "condition_count", ["Long"], TRUE
":`Drug`", ["Drug"], "study_count", ["Long"], TRUE
":`Drug`", ["Drug"], "conditions", ["StringArray"], TRUE
":`FunctionalModule`", ["FunctionalModule"], "name", ["String"], TRUE
":`FunctionalModule`", ["FunctionalModule"], "parent_cluster_count", ["Long"], TRUE
":`FunctionalModule`", ["FunctionalModule"], "is_leaf", ["Boolean"], TRUE
